,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9222795471790223670,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Accenture and Adboe team on customer enegagement,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Mobile Time,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi
-9216926795620865886,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,"The Algorithm March, Japan's Strangely Entertaining Exercise","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",40 Basic Japanese conversations,Japanese for dummies,Design Patterns: Progressive Disclosure for Mobile Apps
-9194572880052200111,"STEMTera, uma protoboard com Arduino Uno embutido",Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Curso mbed na KL25Z - Primeiros passos - Embarcados,"Handling context in ""outside-in"""
-9192549002213406534,Chrome OS now has Material Design for the desktop,Google's Hangouts still has a future: as an enterprise communication app,Alecrim/AlecrimCoreData,Progressive Web App - first introduced on Google I/O | airberlin,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,Monitor your application errors with Stackdriver Error Reporting
-9190737901804729417,The Real Product Market Fit,Campus São Paulo: conheça a primeira turma do Programa de Residentes,How This Googler Redesigned The Workweek,O tênue equilíbrio da equipe que desenha produtos digitais,How Mature is Your Organization when it Comes to UX?,Linking the customer experience to value
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,"Agility in the Cloud: Which ""As a Service"" Works for You?",How to use Docker to run ASP.NET Core apps on Google App Engine,How to Design a Walkthrough That Users Will Read,Perfect Menu for Mobile Apps - UX Planet
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,Apple is working on an AI system that wipes the floor with Google and everyone else,Revolutionize business communication with Kast,The 200 billion dollar chatbot disruption,Readable Content Guides,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-9161596996229760398,Críticas de design: dizendo as coisas que precisam ser ditas,What exactly is a design culture? ,The Progress of Web Apps - On the Edge,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,The 'impossible' is now a reality,Branding é problema seu. E meu.
-9160910454530522563,"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",The End Of Apple Man
-9137036168156595470,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",Former NASA chief unveils $100 million neural chip maker KnuEdge,Operator fuses bots with humans to build cyborg shopping experts,Artificial intelligence produces realistic sounds that fool humans,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Using Gamified Hacking Challenges To Attract New Blockchain Developers
